representation,config_id,role,split_index,record_id,sample,original_symbol,n_seeds,predicted_N_seeds,predicted_S_seeds,predicted_V_seeds,predicted_F_seeds,correct_seed_fraction,all_seeds_missed_F,all_seeds_predicted_N
RAW_1D,FOCAL_A025_G3,selected_on_DS1,25998,213,21791,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,25998,213,21791,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,25998,213,21791,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26090,213,39843,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26090,213,39843,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26090,213,39843,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26090,213,39843,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26104,213,42582,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26104,213,42582,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26104,213,42582,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26104,213,42582,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26106,213,42969,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26106,213,42969,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26106,213,42969,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26106,213,42969,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26108,213,43362,F,10,9,0,1,0,0.0,True,False
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26108,213,43362,F,10,9,0,1,0,0.0,True,False
STFT_2D,BASELINE_CE,baseline,26108,213,43362,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26108,213,43362,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26112,213,44159,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26112,213,44159,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26112,213,44159,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26112,213,44159,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26114,213,44550,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26114,213,44550,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26114,213,44550,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26114,213,44550,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26116,213,44939,F,10,8,1,1,0,0.0,True,False
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26116,213,44939,F,10,9,1,0,0,0.0,True,False
STFT_2D,BASELINE_CE,baseline,26116,213,44939,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26116,213,44939,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26120,213,45729,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26120,213,45729,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26120,213,45729,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26120,213,45729,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26122,213,46122,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26122,213,46122,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26122,213,46122,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26122,213,46122,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26124,213,46507,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26124,213,46507,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26124,213,46507,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26124,213,46507,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26126,213,46904,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26126,213,46904,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26126,213,46904,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26126,213,46904,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26128,213,47296,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26128,213,47296,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26128,213,47296,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26128,213,47296,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26130,213,47683,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26130,213,47683,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26130,213,47683,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26130,213,47683,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26132,213,48073,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26132,213,48073,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26132,213,48073,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26132,213,48073,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26134,213,48469,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26134,213,48469,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26134,213,48469,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26134,213,48469,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26136,213,48861,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26136,213,48861,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26136,213,48861,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26136,213,48861,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26138,213,49243,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26138,213,49243,F,10,9,0,1,0,0.0,True,False
STFT_2D,BASELINE_CE,baseline,26138,213,49243,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26138,213,49243,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26140,213,49631,F,10,9,0,1,0,0.0,True,False
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26140,213,49631,F,10,9,0,1,0,0.0,True,False
STFT_2D,BASELINE_CE,baseline,26140,213,49631,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26140,213,49631,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26144,213,50423,F,10,8,1,1,0,0.0,True,False
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26144,213,50423,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26144,213,50423,F,10,9,0,1,0,0.0,True,False
STFT_2D,WGAN_GP_X5,selected_on_DS1,26144,213,50423,F,10,9,0,1,0,0.0,True,False
RAW_1D,BASELINE_CE,baseline,26146,213,50815,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26146,213,50815,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26146,213,50815,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26146,213,50815,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26148,213,51210,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26148,213,51210,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26148,213,51210,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26148,213,51210,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26158,213,53173,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26158,213,53173,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26158,213,53173,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26158,213,53173,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26160,213,53560,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26160,213,53560,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26160,213,53560,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26160,213,53560,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26168,213,55114,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26168,213,55114,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26168,213,55114,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26168,213,55114,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26172,213,55894,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26172,213,55894,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26172,213,55894,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26172,213,55894,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26174,213,56290,F,10,9,0,1,0,0.0,True,False
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26174,213,56290,F,10,9,1,0,0,0.0,True,False
STFT_2D,BASELINE_CE,baseline,26174,213,56290,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26174,213,56290,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26176,213,56676,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26176,213,56676,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26176,213,56676,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26176,213,56676,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26178,213,57069,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26178,213,57069,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26178,213,57069,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26178,213,57069,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26182,213,57848,F,10,8,2,0,0,0.0,True,False
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26182,213,57848,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26182,213,57848,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26182,213,57848,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26184,213,58238,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26184,213,58238,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26184,213,58238,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26184,213,58238,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26186,213,58625,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26186,213,58625,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26186,213,58625,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26186,213,58625,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26188,213,59024,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26188,213,59024,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26188,213,59024,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26188,213,59024,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26190,213,59408,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26190,213,59408,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26190,213,59408,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26190,213,59408,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26192,213,59796,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26192,213,59796,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26192,213,59796,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26192,213,59796,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26198,213,60982,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26198,213,60982,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26198,213,60982,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26198,213,60982,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26200,213,61371,F,10,9,1,0,0,0.0,True,False
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26200,213,61371,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26200,213,61371,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26200,213,61371,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26208,213,62939,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26208,213,62939,F,10,9,0,1,0,0.0,True,False
STFT_2D,BASELINE_CE,baseline,26208,213,62939,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26208,213,62939,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26214,213,64118,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26214,213,64118,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26214,213,64118,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26214,213,64118,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26216,213,64503,F,10,9,0,1,0,0.0,True,False
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26216,213,64503,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26216,213,64503,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26216,213,64503,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26218,213,64906,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26218,213,64906,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26218,213,64906,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26218,213,64906,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26220,213,65296,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26220,213,65296,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26220,213,65296,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26220,213,65296,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26222,213,65685,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26222,213,65685,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26222,213,65685,F,10,7,0,3,0,0.0,True,False
STFT_2D,WGAN_GP_X5,selected_on_DS1,26222,213,65685,F,10,7,0,3,0,0.0,True,False
RAW_1D,BASELINE_CE,baseline,26224,213,66084,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26224,213,66084,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26224,213,66084,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26224,213,66084,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26230,213,67243,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26230,213,67243,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26230,213,67243,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26230,213,67243,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26236,213,68422,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26236,213,68422,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26236,213,68422,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26236,213,68422,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26238,213,68815,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26238,213,68815,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26238,213,68815,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26238,213,68815,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26240,213,69215,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26240,213,69215,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26240,213,69215,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26240,213,69215,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26242,213,69603,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26242,213,69603,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26242,213,69603,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26242,213,69603,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26248,213,70787,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26248,213,70787,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26248,213,70787,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26248,213,70787,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26254,213,71965,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26254,213,71965,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26254,213,71965,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26254,213,71965,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26256,213,72362,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26256,213,72362,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26256,213,72362,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26256,213,72362,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26258,213,72748,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26258,213,72748,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26258,213,72748,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26258,213,72748,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26260,213,73141,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26260,213,73141,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26260,213,73141,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,26260,213,73141,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,26262,213,73536,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,26262,213,73536,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,26262,213,73536,F,10,10,0,0,0,0.0,True,True
